games,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
119,23,11,9,5,-3,-4,-8,-5,-13,-15
120,24,12,8,4,-2,-5,-7,-4,-12,-14
121,23,11,9,5,-1,-4,-6,-5,-11,-15
122,24,12,8,4,-2,-5,-7,-6,-10,-16
123,25,13,7,3,-3,-6,-6,-5,-9,-17
124,24,14,8,2,-2,-5,-7,-4,-8,-18
125,25,15,7,3,-1,-6,-8,-5,-9,-19
126,26,14,8,4,-2,-7,-8,-4,-10,-20
127,27,13,7,3,-1,-8,-9,-5,-9,-19
128,26,14,6,2,-2,-7,-8,-6,-10,-20
129,27,15,7,1,-1,-7,-7,-7,-11,-21
130,28,16,8,0,0,-6,-8,-8,-12,-22
131,29,15,7,-1,-1,-5,-9,-9,-13,-21
132,30,16,6,0,0,-6,-8,-8,-14,-20
133,31,17,7,-1,1,-5,-7,-9,-13,-21
134,32,18,6,0,2,-4,-6,-10,-14,-20
135,31,17,5,1,1,-3,-7,-9,-13,-21
136,32,16,6,2,0,-2,-8,-10,-14,-22
137,31,15,7,3,1,-1,-9,-9,-15,-23
138,30,16,6,4,0,0,-8,-8,-16,-24
139,31,15,7,3,1,-1,-9,-9,-17,-23
140,32,16,8,2,0,-2,-8,-10,-18,-24
141,31,15,9,3,-1,-1,-9,-9,-19,-25
142,30,14,8,4,0,0,-8,-8,-18,-26
143,31,15,9,5,1,1,-9,-9,-19,-27
144,32,14,10,6,2,2,-8,-10,-20,-28
