games,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
118,24,12,8,12,3,4,-8,-17,-12,-21
119,23,13,7,11,4,3,-9,-16,-13,-22
120,24,13,6,12,5,2,-8,-17,-14,-23
121,25,12,5,13,6,1,-7,-18,-15,-22
122,26,13,4,12,7,2,-6,-17,-16,-21
123,27,14,3,13,6,1,-7,-16,-15,-20
124,28,13,4,12,7,0,-8,-17,-16,-19
125,29,14,3,13,8,1,-7,-18,-15,-20
126,28,15,2,12,9,0,-8,-19,-16,-21
127,29,14,3,13,8,1,-7,-20,-17,-22
128,30,15,2,12,8,0,-6,-21,-18,-23
129,31,16,2,13,7,1,-5,-20,-19,-24
130,32,15,3,12,8,0,-4,-21,-18,-25
131,31,16,2,11,9,-1,-5,-20,-19,-26
132,30,17,3,10,8,0,-6,-19,-20,-27
133,29,16,4,9,9,-1,-5,-20,-19,-26
134,30,15,5,8,8,0,-6,-19,-18,-25
135,31,16,6,7,7,-1,-7,-18,-17,-24
136,32,15,7,8,8,0,-6,-19,-18,-23
137,33,14,8,7,7,1,-7,-20,-19,-24
138,32,13,7,8,6,2,-6,-19,-20,-25
139,31,14,8,9,7,1,-7,-18,-21,-26
140,30,15,9,8,8,2,-6,-19,-22,-25
141,31,14,10,9,9,3,-7,-20,-23,-24
142,30,15,9,10,8,2,-8,-21,-22,-23
143,29,16,10,9,7,3,-9,-20,-21,-24
144,30,17,11,8,6,4,-8,-21,-22,-25
